,Retail and Food Services Sales,Commercial_Credit_Index,Real personal consumption expenditures,Real Personal Income,Consumer_Credit_Index,Total Business Inventories,Real personal income ex transfer receipts,Avg_Hourly_Earnings_Employment,Real Manu. and Trade Industries Sales,Securities in Bank Credit at All Commercial Banks,CPI : All Items,Un lled Orders for Durable Goods,Real M2 Money Stock,Personal Cons. Expend.: Chain Index,PPI_Index,New Orders for Durable Goods,IP Index,Stock_Market_Performance_Index,Civilian Employment,IP_Prod_Equipment_Index,Civilian Labor Force,IP_Materials_Index,IP: Fuels,IP_Final_Products_Index,Tertiary_Sector_Index,Public_Sector_Employment,Monetary_Aggregates_Index,IP: Consumer_Goods_Index,Consumer_Spending_Index,"Crude Oil, spliced WTI and Cushing",Banking_Reserves_Index,Average Duration of Unemployment (Weeks),Help-Wanted Index for United States,Avg_weekly_hours_Employment,Canada / U.S. Foreign Exchange Rate,Nonrevolving consumer credit to Personal Income,Spread_Index,Initial Claims,Ratio of Help Wanted/No. Unemployed,Civilian Unemployment Rate,New Private Housing Permits (SAAR),Primary_Sector_Employment,Stock_Market_Valuation_Index,Credit_Market_Index,Housing Starts: Total New Privately Owned,Capacity Utilization: Manufacturing,Short_Term_Rate_Index,Long_Term_Rate_Index,U.S. / U.K. Foreign Exchange Rate,Secondary_Sector_Employment,Switzerland / U.S. Foreign Exchange Rate,Japan / U.S. Foreign Exchange Rate,Total Business: Inventories to Sales Ratio,PCE
1959-01-01,,,,,,,,,,-0.8435790791183361,,,,,,,,,,,,,,,,,,,,-0.9958948748414406,,-0.2858246584144246,-1.4365828603083162,,,,,-0.5402857265104276,-0.7217657337205954,-0.1835891252141793,,,0.109273232892964,,,0.6236780746711488,,,,,,,,
1959-04-01,,,,,,,,,,-0.8456678520785678,,,,,,,,,,,,,,,,,,,,-0.9958948748414406,,-0.3400978156939966,-1.330411527360034,,,,,-0.5522230663908372,-0.4264378948016113,-0.5474889984065697,,,0.0993558913531268,,,1.08117667761546,,,,,,,,
1959-07-01,,,,,,,,,,-0.8469485233264985,,,,,,,,,,,,,,,,,,,,-0.9958948748414406,,-0.5029172875327124,-1.3920239071020424,,,,,-0.4625272209005371,-0.6500856329935628,-0.2442391040795775,,,0.0664348340157749,,,-0.0606633360253179,,,,,,,,
1959-10-01,,,,,,,,,,-0.8474605505377264,,,,,,,,,,,,,,,,,,,,-0.9958948748414406,,-0.5843270234520702,-1.4250305391066895,,,,,-0.4749676670594315,-0.6566725577228899,-0.3655390618103745,,,0.0263712890003882,,,0.8415374041615389,,,,,,,,
1960-01-01,,,,,,,,,,-0.850754485812729,,,,,,,,,,,,,,,,,,,,-0.9958948748414406,,-0.5978953127719631,-1.237992957747022,,,,,-0.2624567184508558,-0.4111201605978545,-0.3048890829449757,-1.0955868314400057,,0.1129443436055617,,,0.7764371316912573,,,,,,,,
1960-04-01,,,,,,,,,,-0.8509980447023943,,,,,,,,,,,,,,,,,,,,-0.9958948748414406,,-0.7471464952907857,-1.294654342688333,,,,,-0.1891289783617112,-0.5079725352841494,-0.3048890829449757,-1.087774851180966,,0.0863371092156153,,,0.1738453731768819,,,,,,,,
1960-07-01,-1.0930714630054843,-0.98126640338823,-1.3258148092345807,-1.351756291655388,-0.9535413747712442,-1.2198432310417255,-1.3983775523151305,-1.3471442097934268,-1.4033725678832665,-0.8489969160395799,-1.3162200767588157,-1.2019478601524165,-1.1710206564261396,-1.3814055961806968,-1.316173382494644,-1.3765819453105568,-1.6556628167046534,-0.737228050717688,-1.63235183522759,-1.5510433993898192,-1.6530203820212743,-1.699086264705757,-1.7691976940287404,-1.699879407080312,-8.761818323860409,-2.0430248255546704,-0.6949442472610365,-1.8836227218716932,-4.2898227511269935,-0.9958948748414406,-0.5221720418707354,-0.611463602091856,-1.3777210332333618,-1.9717079625298224,-1.3673488879219846,0.223012994229233,0.5124928684007591,-0.0054951867147969,-0.6655876844999827,-0.2442391040795775,-1.0200710222692877,-0.0460880041092328,0.1246777531451868,-0.6146631090915757,-0.8751641637899071,-0.2862883833908806,-0.5988649506634427,-0.690344563373668,1.9068072972697023,-2.12316265986641,1.782810301864355,1.6392635640326725,1.3976889918971107,-1.0424691465096327
1960-10-01,-1.0826907346729546,-0.9782766222425666,-1.3322028490976647,-1.3612222581893043,-0.9444294401355776,-1.2201210437730594,-1.4155139190382242,-1.3462192098704733,-1.418628959964579,-0.845981384472082,-1.305415492340062,-1.2030798434601084,-1.176861927277174,-1.3720366298740951,-1.280896704323469,-1.3778442246743006,-1.6923452084166772,-0.7420572320964341,-1.647396034814396,-1.5756304910113272,-1.6434966249956808,-1.7368305547993588,-1.81315414146322,-1.725197733406811,-8.797493675932373,-2.020596140484528,-0.6917114229701573,-1.9065361649097583,-4.253754500759759,-0.9958948748414406,-0.535990730414015,-0.6793050486913209,-1.467939160712731,-3.070263551127057,-1.3664570775910554,0.322979121679221,0.9007630646267828,0.1002886254534114,-0.9680400745646218,0.422910663439805,-1.1060028051187254,-0.2088116974430847,0.1123474137127911,-0.5350127652717976,-0.8346612180974361,-1.017543513898803,-0.5841130359263582,-0.6196666440511537,1.901935156977722,-2.632973798229046,1.7722148856335287,1.6401535407106662,1.3802811155982084,-1.039097078966249
1961-01-01,-1.0970722832565654,-0.9776384214471884,-1.3294080482389254,-1.387379659165049,-0.9344518781225624,-1.218988353655477,-1.399895420540063,-1.3437645071392483,-1.4202053390253635,-0.8454495574560125,-1.3048823398666276,-1.2010612277508004,-1.1674764519671226,-1.3725007462264625,-1.280295134955462,-1.3795773041471269,-1.675956632112933,-0.7419406189470215,-1.6497954012234992,-1.567125728928136,-1.6399351928667445,-1.7092295954644623,-1.8164874767517445,-1.7163701699457417,-8.8085017443814,-2.019391888771993,-0.6881321275322224,-1.8973498176654755,-4.251976982423166,-0.9958948748414406,-0.5490461711989526,-0.4486441302531405,-1.4646384975122664,-1.9523333388970427,-1.3430495064325538,0.2953182479773513,0.8624472208750842,0.1606899644555798,-1.0101132462685765,0.6048606000360007,-0.9784071275544084,-0.2921578731803707,0.0831537189585812,-0.58134478421158,-0.2435230273134251,-1.095799591201318,-0.6060783160999922,-0.6683663662991521,1.89337887114105,-2.742863654467324,1.7734060825000608,1.6193622523297524,1.1219392233949657,-1.040945680934801
1961-04-01,-1.0916342497442315,-0.9742706330755636,-1.3221726453413538,-1.33894463686229,-0.9566207208078652,-1.2163675800140317,-1.3886606568035085,-1.3389851867297389,-1.401025039411782,-0.8438391733288906,-1.306337474675446,-1.1973229717100993,-1.1523462680149177,-1.3729124877899157,-1.2931136166138844,-1.3816735742737352,-1.6326313705692876,-0.7562978342432632,-1.6438987986347555,-1.5402933930756817,-1.6352750169887622,-1.6616527626614517,-1.893268671516343,-1.683042067248345,-8.788882947430238,-2.003432535126003,-0.6835090521560389,-1.8290405156403555,-4.244741975204423,-0.9958948748414406,-0.5315515936868359,-0.1637100545353881,-1.415678660038706,-1.378770513087705,-1.1351033475380785,0.0581337230536395,1.3887965055621443,-0.1322551004257366,-0.9620745603416074,0.6048606000360007,-0.7961275881768128,-0.2726208688219383,0.1089905632868521,-0.49210698621198,-0.0805854333726878,-0.4049900761563763,-0.6309678380626602,-0.6337260601756551,1.842468529821408,-2.477265432690559,1.776490850178794,1.6346971424135497,0.8940937066207645,-1.0429106131904684
1961-07-01,-1.0879688972549353,-0.9665584119378192,-1.321111937709447,-1.3319463258224993,-0.9667966186260434,-1.2151704646016426,-1.3807007321257243,-1.3370049347128856,-1.3905379400878788,-0.8413984038381404,-1.3052362506012978,-1.1918635881207489,-1.1399489183717275,-1.3718810199590794,-1.2971038280122258,-1.371164084199599,-1.6202917319198016,-0.768846858261532,-1.658895625995271,-1.5340836362478028,-1.651527199544442,-1.6434344960853764,-1.8636286376736255,-1.6796454104265983,-8.741092565416013,-1.97297654872214,-0.677114556783324,-1.8387514404881145,-4.234553104709693,-0.9958948748414406,-0.5416286482622987,-0.1772783438552808,-1.343614180161893,-1.6482112885895934,-0.9636834367717724,0.0589980763845874,1.2739390024723305,-0.1392528513901147,-0.8368564705104505,0.4835606423052038,-0.7232157724257746,-0.2020922685720555,0.1379660272894074,-0.4416641501140094,-0.0300485565547675,-0.2388755814537718,-0.6094899680603517,-0.58487434818423,1.8944947691066416,-2.3459627975631245,1.7664359301563854,1.633256432487899,0.8214274511171182,-1.0443530928477154
1961-10-01,-1.0820036293300066,-0.966664523005532,-1.3068098292087549,-1.3269364526789504,-0.9454604885692468,-1.220258386844408,-1.376501702854963,-1.3339084190584356,-1.3836873807950656,-0.8398895735487546,-1.3043517060697405,-1.189340276814153,-1.1266485882778032,-1.371200778724746,-1.310059341097655,-1.3616694798805198,-1.58893117143039,-0.7544694102583406,-1.6532579290393226,-1.5116232205882936,-1.6611735961165712,-1.610207136231866,-1.7685406321264767,-1.6451841652585408,-8.706906904147532,-1.9656964826693863,-0.6730834855955907,-1.7831071281503017,-4.241082598361592,-0.9958948748414406,-0.5276116379214718,-0.2179832118149598,-1.2726499213519014,-0.9655729438683632,-0.95159622175079,0.0800884850265143,1.0101789200775202,-0.3535132377397849,-0.6174319027007493,0.0590107902474146,-0.5591641869859386,-0.2371003623466543,0.2009042829414523,-0.4795559387825593,-0.2399025367011497,0.4494385229629004,-0.5384415450214942,-0.4991787354774013,1.8879768195036009,-2.061885995980952,1.7775354799117946,1.6317862405093626,0.597463242516626,-1.0425568514355985
1962-01-01,-1.0855438071876835,-0.965424962454996,-1.3007454822921938,-1.3113963646642053,-0.941165085574634,-1.224445633583063,-1.354992868252261,-1.3310426172925067,-1.3715148034312628,-0.8401852932146155,-1.3035592766309425,-1.1882159412388265,-1.110449782547323,-1.3708106180984123,-1.3253609855043216,-1.3657780971636833,-1.576487943938211,-0.7465154397717839,-1.635622394969407,-1.501868145929337,-1.650543481919488,-1.6066246591269255,-1.7415119585559042,-1.631337218232087,-8.655952108016358,-1.9517270733682828,-0.6643511447636098,-1.7723344118926103,-4.240380973899626,-0.9958948748414406,-0.5161723568492012,-0.3265295263741037,-1.2412936209474863,-0.7230787846296949,-0.9201145820604848,0.0737974683048813,0.374161725260025,-0.3948537093275445,-0.4901153126530972,-0.1835891252141793,-0.6294720093172969,-0.2351392587811406,0.2052394997707862,-0.5608470193263714,-0.0421720279764444,0.50675311427298,-0.5407532075897896,-0.5722502575474678,1.9254118717864883,-1.9173698875003808,1.7756583361015017,1.6271808759894637,0.6093568907194498,-1.0414691672268184
1962-04-01,-1.079989188140058,-0.9662452897348214,-1.2954639235721517,-1.3083233431175183,-0.9392720329687808,-1.2184959868240928,-1.3477447683552248,-1.3300769559947965,-1.3691975600995814,-0.839482293692173,-1.3023411016015551,-1.185147490387203,-1.0886075532659651,-1.368639427534183,-1.298686213191056,-1.3509818294588296,-1.571221162563084,-0.752945637290593,-1.624881513210518,-1.4893168123150762,-1.6463838505000876,-1.6079406877891875,-1.7133333400687842,-1.6142250354870606,-8.593285423575221,-1.9358425774039405,-0.6446155240917085,-1.759631980593063,-4.228541388100102,-0.9958948748414406,-0.4822228290190826,-0.3129612370542107,-1.2396432893472542,-0.728503911927288,-0.6601611807025662,0.2337507027491595,0.7208081813650773,-0.2675049325861056,-0.4593942221621031,-0.2442391040795775,-0.5773921409236982,-0.297058962760993,0.2510789211015953,-0.5392488372669058,-0.0862799478928526,0.3146863490363796,-0.457281000346557,-0.5227292308280064,1.8854704549954568,-1.812213672852306,1.7624201741059111,1.6317519029731058,0.8019059854511367,-1.0388855633896958
1962-07-01,-1.0779214774941517,-0.9652256888950242,-1.2904402197360738,-1.301237105764094,-0.9475640965465976,-1.2171215681302934,-1.3419915848719215,-1.3248720780854335,-1.3719673280039482,-0.8389183186058765,-1.2979309442053597,-1.183599175757507,-1.0842120229480796,-1.3637829689218852,-1.2881420705124214,-1.3583444773664903,-1.55940598009536,-0.7386420586092922,-1.6109317762122022,-1.4788777748740067,-1.6266377732170685,-1.5987126291184044,-1.7054471677191776,-1.6022052362963817,-8.57468615946083,-1.9153280175632523,-0.6376015352467164,-1.74285948030504,-4.209384911345093,-0.9958948748414406,-0.4706674194056401,-0.4486441302531405,-1.2776009161525983,-0.6798172709315676,-0.7231804432316962,0.2703716715660699,0.4909389934072176,-0.3005727361628725,-0.5537548370573571,-0.1835891252141793,-0.3977165949657825,-0.3273625853694394,0.2030740463475226,-0.5693826380685136,-0.2322364064361285,0.4860511877008603,-0.4386080789464331,-0.4870530164575372,1.8555733615615453,-1.713370563448609,1.7942758707399529,1.6128169685350282,0.8253348317497754,-1.0395785774195023
1962-10-01,-1.0812141238152768,-0.9646259865771474,-1.2867681662112789,-1.2955315731880188,-0.961981089383939,-1.2178291151187393,-1.3407126357229746,-1.3231898399627375,-1.380469569981073,-0.8370639497868348,-1.3003966197286918,-1.182442404143585,-1.0632338459295296,-1.3648334115708256,-1.3016244749062842,-1.3568697442653483,-1.5571163385623807,-0.7616720569258298,-1.6189474383197189,-1.4789575474022731,-1.633280065561238,-1.5960442408553128,-1.639325679161991,-1.597813263017316,-8.558426407166047,-1.90970108100582,-0.6288008891802055,-1.7376322576495982,-4.224875437907751,-0.9958948748414406,-0.4655868102937593,-0.5164855768526053,-1.2952044532217435,-0.9818564139292262,-0.7397719741816741,0.3326405125569859,0.345505949063237,-0.2543669981774939,-0.5592724343372464,-0.2442391040795775,-0.3638646805099433,-0.3785854927732247,0.1684780857389621,-0.6242528611250261,0.1849472960804628,0.4644109867325145,-0.4928962662289897,-0.5573685844625728,1.8583688541911767,-1.7915710206602358,1.808623820251356,1.6203694496539192,0.8769682190139116,-1.0406204570746993
