,New Orders for Consumer Goods
1961Q2,
1961Q3,
1961Q4,
1962Q1,
1962Q2,
1962Q3,
1962Q4,
1963Q1,
1963Q2,
1963Q3,
1963Q4,
1964Q1,
1964Q2,
1964Q3,
1964Q4,
1965Q1,
1965Q2,
1965Q3,
1965Q4,
1966Q1,
1966Q2,
1966Q3,
1966Q4,
1967Q1,
1967Q2,
1967Q3,
1967Q4,
1968Q1,
1968Q2,
1968Q3,
1968Q4,
1969Q1,
1969Q2,
1969Q3,
1969Q4,
1970Q1,
1970Q2,
1970Q3,
1970Q4,
1971Q1,
1971Q2,
1971Q3,
1971Q4,
1972Q1,
1972Q2,
1972Q3,
1972Q4,
1973Q1,
1973Q2,
1973Q3,
1973Q4,
1974Q1,
1974Q2,
1974Q3,
1974Q4,
1975Q1,
1975Q2,
1975Q3,
1975Q4,
1976Q1,
1976Q2,
1976Q3,
1976Q4,
1977Q1,
1977Q2,
1977Q3,
1977Q4,
1978Q1,
1978Q2,
1978Q3,
1978Q4,
1979Q1,
1979Q2,
1979Q3,
1979Q4,
1980Q1,
1980Q2,
1980Q3,
1980Q4,
1981Q1,
1981Q2,
1981Q3,
1981Q4,
1982Q1,
1982Q2,
1982Q3,
1982Q4,
1983Q1,
1983Q2,
1983Q3,
1983Q4,
1984Q1,
1984Q2,
1984Q3,
1984Q4,
1985Q1,
1985Q2,
1985Q3,
1985Q4,
1986Q1,
1986Q2,
1986Q3,
1986Q4,
1987Q1,
1987Q2,
1987Q3,
1987Q4,
1988Q1,
1988Q2,
1988Q3,
1988Q4,
1989Q1,
1989Q2,
1989Q3,
1989Q4,
1990Q1,
1990Q2,
1990Q3,
1990Q4,
1991Q1,
1991Q2,
1991Q3,
1991Q4,
1992Q1,
1992Q2,14.113126899734851
1992Q3,-0.966648958983285
1992Q4,-0.14134351439238912
1993Q1,7.633422669984924
1993Q2,-0.26066575795553604
1993Q3,-6.401493204298703
1993Q4,0.35027394085886954
1994Q1,15.44894268238437
1994Q2,7.29058053803584
1994Q3,4.608193421904616
1994Q4,17.25173855444808
1995Q1,-3.641010200771433
1995Q2,2.6659082643107013
1995Q3,5.154391869441355
1995Q4,4.244540351743353
1996Q1,-2.479598676613648
1996Q2,2.371133228272271
1996Q3,9.043004722519754
1996Q4,0.6978923417356953
1997Q1,8.817116777770195
1997Q2,2.9034623735945786
1997Q3,1.786372614891718
1997Q4,4.020981416766745
1998Q1,-3.093802418399605
1998Q2,-12.100849966113714
1998Q3,9.103575183829804
1998Q4,3.1134612271351614
1999Q1,11.892519466196916
1999Q2,4.120313157008582
1999Q3,7.863483926277581
1999Q4,2.2883281933218313
2000Q1,11.957186988060897
2000Q2,3.6698381893558008
2000Q3,2.5823976790171344
2000Q4,-4.4736391287010235
2001Q1,-8.888431344918502
2001Q2,-2.408140031194961
2001Q3,-2.9770486318312805
2001Q4,6.673151722382897
2002Q1,-8.02257131358246
2002Q2,12.244306044920705
2002Q3,9.412049517096932
2002Q4,1.3503629585244425
2003Q1,13.905677776289593
2003Q2,-4.065634156807363
2003Q3,11.132268029245296
2003Q4,-1.608942045950812
2004Q1,13.357332737011518
2004Q2,5.180095373736293
2004Q3,5.0576864991789705
2004Q4,14.713674913161157
2005Q1,12.11373326888463
2005Q2,8.712971368114353
2005Q3,27.793141201009064
2005Q4,-6.822393854830011
2006Q1,3.750880986192584
2006Q2,6.462152854226844
2006Q3,-21.38536242307012
2006Q4,21.05948713558945
2007Q1,4.973297169701141
2007Q2,8.848679117635783
2007Q3,5.977956727981137
2007Q4,28.23709297375956
2008Q1,-0.4370788997988484
2008Q2,27.701640515734027
2008Q3,-31.345601995526096
2008Q4,-91.40635573842317
2009Q1,-10.593805019126279
2009Q2,21.133533255367354
2009Q3,10.904501014420731
2009Q4,23.724729577267567
2010Q1,6.106154846376199
2010Q2,-5.329109703760082
2010Q3,12.606836195841709
2010Q4,31.608635945568864
2011Q1,25.843343278018693
2011Q2,-1.7157923159970778
2011Q3,-0.5278693584443772
2011Q4,4.79366856198169
2012Q1,6.908300315679838
2012Q2,-18.07905101821703
2012Q3,19.078325548726127
2012Q4,-0.45532829344168135
2013Q1,3.2812048838934516
2013Q2,-6.077273338073752
2013Q3,9.45679723342252
2013Q4,6.574330451989141
2014Q1,1.5877419388779401
2014Q2,-2.2181656884882273
2014Q3,-7.564445998826841
2014Q4,-26.696191463937424
2015Q1,-3.9828156672598425
2015Q2,2.09799596750031
2015Q3,-13.536378941615368
2015Q4,-13.255893511942674
2016Q1,-1.5218816351321607
2016Q2,9.915155945709841
2016Q3,-2.53996769045699
2016Q4,14.62010214842664
2017Q1,-6.6108780373973275
2017Q2,-1.7904037362448832
2017Q3,8.283280213480282
2017Q4,14.641281102500159
2018Q1,5.887100777687948
2018Q2,8.311652863429941
2018Q3,6.8414956757017364
2018Q4,-17.7703660704168
2019Q1,5.704449724422034
2019Q2,-4.752396600090947
2019Q3,-4.028968031572333
2019Q4,-4.250537623523343
2020Q1,-54.12832943067798
2020Q2,5.630395798177545
2020Q3,28.333589580820018
2020Q4,18.275743104538833
2021Q1,13.529412038663935
2021Q2,17.484678802542675
2021Q3,13.750770862294104
2021Q4,19.21567237561348
2022Q1,35.481580725318906
2022Q2,21.378051694674838
2022Q3,-8.657566121866722
2022Q4,-12.971439729625445
2023Q1,-7.129086434473919
2023Q2,-4.578445117500252
2023Q3,17.876006059474747
