,PCE,PCE_Goods,PCE_Goods_Durable_goods,PCE_Goods_Nondurable_goods,PCE_Services
2000-03-31,6618.2,2413.1,920.9,1492.2,4205.1
2000-06-30,6711.9,2437.1,901.9,1535.1,4274.9
2000-09-30,6820.0,2469.2,911.7,1557.5,4350.8
2000-12-31,6918.6,2493.4,915.8,1577.6,4425.2
2001-03-31,6995.3,2499.2,926.8,1572.4,4496.1
2001-06-30,7042.3,2510.1,919.5,1590.6,4532.1
2001-09-30,7070.3,2515.2,923.9,1591.4,4555.1
2001-12-31,7187.3,2577.8,995.9,1581.9,4609.5
2002-03-31,7217.7,2561.9,976.2,1585.6,4655.8
2002-06-30,7308.0,2586.9,977.4,1609.5,4721.0
2002-09-30,7397.1,2618.4,1001.7,1616.7,4778.7
2002-12-31,7473.0,2628.0,986.1,1641.9,4845.0
2003-03-31,7567.2,2657.3,974.5,1682.8,4909.8
2003-06-30,7661.5,2677.9,1007.8,1670.1,4983.6
2003-09-30,7820.9,2766.2,1041.8,1724.5,5054.7
2003-12-31,7913.5,2788.9,1047.1,1741.8,5124.5
2004-03-31,8048.8,2843.2,1064.2,1779.0,5205.5
2004-06-30,8147.1,2869.0,1066.0,1803.0,5278.1
2004-09-30,8283.3,2911.3,1085.0,1826.3,5372.0
2004-12-31,8448.6,2984.5,1107.1,1877.5,5464.1
2005-03-31,8551.7,3001.9,1110.0,1892.0,5549.8
2005-06-30,8701.1,3057.4,1137.9,1919.5,5643.7
2005-09-30,8868.1,3137.8,1151.8,1986.0,5730.2
2005-12-31,8955.3,3134.5,1114.7,2019.7,5820.8
2006-03-31,9100.2,3196.8,1154.1,2042.7,5903.3
2006-06-30,9227.6,3226.1,1149.2,2076.8,6001.6
2006-09-30,9353.8,3273.4,1160.5,2112.9,6080.3
2006-12-31,9427.4,3262.2,1169.4,2092.8,6165.1
2007-03-31,9572.1,3308.1,1179.0,2129.1,6264.0
2007-06-30,9678.7,3351.8,1185.7,2166.1,6326.9
2007-09-30,9798.4,3380.0,1191.9,2188.2,6418.4
2007-12-31,9937.1,3428.2,1195.6,2232.6,6509.0
2008-03-31,10004.4,3406.4,1153.5,2252.9,6598.1
2008-06-30,10129.9,3443.5,1137.7,2305.8,6686.3
2008-09-30,10159.1,3427.9,1095.8,2332.1,6731.2
2008-12-31,9906.9,3175.1,1008.0,2167.1,6731.9
2009-03-31,9815.0,3120.0,1004.5,2115.5,6694.9
2009-06-30,9805.5,3134.5,994.7,2139.8,6671.0
2009-09-30,9939.4,3228.5,1035.1,2193.4,6710.9
2009-12-31,10005.0,3237.1,1014.2,2222.9,6767.9
2010-03-31,10101.8,3266.2,1021.1,2245.1,6835.7
2010-06-30,10208.1,3291.2,1043.9,2247.3,6916.9
2010-09-30,10300.8,3315.1,1052.4,2262.7,6985.6
2010-12-31,10430.3,3398.8,1078.4,2320.4,7031.5
2011-03-31,10558.2,3469.0,1087.9,2381.1,7089.2
2011-06-30,10673.0,3514.5,1082.9,2431.6,7158.6
2011-09-30,10755.0,3527.8,1090.8,2437.0,7227.3
2011-12-31,10809.2,3561.2,1112.4,2448.8,7248.0
2012-03-31,10959.3,3628.7,1138.1,2490.6,7330.6
2012-06-30,11005.1,3616.4,1133.6,2482.8,7388.7
2012-09-30,11059.4,3631.8,1141.7,2490.1,7427.6
2012-12-31,11165.7,3674.1,1163.6,2510.5,7491.6
2013-03-31,11277.7,3736.7,1189.7,2547.0,7540.9
2013-06-30,11315.7,3710.5,1187.6,2522.9,7605.2
2013-09-30,11408.4,3745.3,1191.9,2553.3,7663.1
2013-12-31,11551.2,3776.2,1197.9,2578.4,7775.0
2014-03-31,11646.0,3810.3,1207.5,2602.8,7835.7
2014-06-30,11810.5,3885.9,1244.2,2641.6,7924.6
2014-09-30,11959.8,3921.9,1261.3,2660.7,8037.9
2014-12-31,12081.6,3928.2,1276.0,2652.2,8153.3
2015-03-31,12119.8,3896.8,1291.0,2605.7,8223.0
2015-06-30,12264.1,3958.9,1317.8,2641.2,8305.2
2015-09-30,12382.5,3993.6,1326.9,2666.7,8388.9
2015-12-31,12423.4,3971.2,1327.5,2643.7,8452.2
2016-03-31,12523.2,3971.5,1338.7,2632.9,8551.6
2016-06-30,12665.1,4023.8,1345.9,2677.9,8641.3
2016-09-30,12797.1,4050.8,1366.3,2684.4,8746.4
2016-12-31,12922.0,4086.0,1375.1,2710.9,8836.0
2017-03-31,13097.3,4144.9,1385.1,2759.8,8952.4
2017-06-30,13188.7,4163.0,1394.4,2768.6,9025.7
2017-09-30,13325.1,4216.0,1417.8,2798.2,9109.0
2017-12-31,13551.4,4324.9,1466.4,2858.6,9226.5
2018-03-31,13745.1,4387.9,1483.3,2904.6,9357.2
2018-06-30,13891.3,4409.9,1488.1,2921.8,9481.4
2018-09-30,14002.2,4422.5,1491.6,2930.8,9579.7
2018-12-31,14099.2,4436.6,1492.2,2944.3,9662.6
2019-03-31,14148.0,4428.5,1482.0,2946.6,9719.5
2019-06-30,14336.8,4520.7,1514.4,3006.4,9816.0
2019-09-30,14517.7,4570.2,1541.0,3029.3,9947.5
2019-12-31,14668.0,4597.2,1553.5,3043.6,10070.8
2020-03-31,14473.1,4559.5,1479.8,3079.7,9913.6
2020-06-30,13168.9,4391.9,1467.6,2924.3,8777.1
2020-09-30,14456.2,4923.3,1766.0,3157.4,9532.8
2020-12-31,14726.7,4977.8,1802.2,3175.6,9748.8
2021-03-31,15217.7,5241.5,1924.3,3317.1,9976.2
2021-06-30,15950.9,5536.4,2058.4,3478.0,10414.5
2021-09-30,16285.1,5515.9,1972.7,3543.2,10769.2
2021-12-31,16718.2,5732.8,2070.2,3662.6,10985.4
2022-03-31,17030.6,5879.3,2120.7,3758.5,11151.4
2022-06-30,17415.1,6014.4,2122.9,3891.5,11400.7
2022-09-30,17684.2,6046.8,2143.1,3903.7,11637.4
2022-12-31,17917.0,6047.6,2129.0,3918.6,11869.4
2023-03-31,18269.6,6133.8,2194.9,3939.0,12135.7
2023-06-30,18419.0,6144.7,2193.6,3951.1,12274.4
2023-09-30,18679.5,6231.8,2204.5,4027.3,12447.7
