,description,group
RPI,Real Personal Income,Output and Income
W875RX1,Real personal income ex transfer receipts,Output and Income
DPCERA3M086SBEA,Real personal consumption expenditures,"Consumption, Orders, and Inventories"
CMRMTSPLx,Real Manu. and Trade Industries Sales,"Consumption, Orders, and Inventories"
RETAILx,Retail and Food Services Sales,"Consumption, Orders, and Inventories"
INDPRO,IP Index,Output and Income
IPFPNSS,IP: Final Products and Nonindustrial Supplies,Output and Income
IPFINAL,IP: Final Products (Market Group),Output and Income
IPCONGD,IP: Consumer Goods,Output and Income
IPDCONGD,IP: Durable Consumer Goods,Output and Income
IPNCONGD,IP: Nondurable Consumer Goods,Output and Income
IPBUSEQ,IP: Business Equipment,Output and Income
IPMAT,IP: Materials,Output and Income
IPDMAT,IP: Durable Materials,Output and Income
IPNMAT,IP: Nondurable Materials,Output and Income
IPMANSICS,IP: Manufacturing (SIC),Output and Income
IPFUELS,IP: Fuels,Output and Income
CUMFNS,Capacity Utilization: Manufacturing,Output and Income
HWI,Help-Wanted Index for United States,Labor Market
HWIURATIO,Ratio of Help Wanted/No. Unemployed,Labor Market
CLF16OV,Civilian Labor Force,Labor Market
CE16OV,Civilian Employment,Labor Market
UNRATE,Civilian Unemployment Rate,Labor Market
UEMPMEAN,Average Duration of Unemployment (Weeks),Labor Market
UEMPLT5,Civilians Unemployed - Less Than 5 Weeks,Labor Market
UEMP5TO14,Civilians Unemployed for 5-14 Weeks,Labor Market
UEMP15OV,Civilians Unemployed - 15 Weeks & Over,Labor Market
UEMP15T26,Civilians Unemployed for 15-26 Weeks,Labor Market
UEMP27OV,Civilians Unemployed for 27 Weeks and Over,Labor Market
CLAIMSx,Initial Claims,Labor Market
PAYEMS,All Employees: Total nonfarm,Labor Market
USGOOD,All Employees: Goods-Producing Industries,Labor Market
CES1021000001,All Employees: Mining and Logging: Mining,Labor Market
USCONS,All Employees: Construction,Labor Market
MANEMP,All Employees: Manufacturing,Labor Market
DMANEMP,All Employees: Durable goods,Labor Market
NDMANEMP,All Employees: Nondurable goods,Labor Market
SRVPRD,All Employees: Service-Providing Industries,Labor Market
USTPU,"All Employees: Trade, Transportation & Utilities",Labor Market
USWTRADE,All Employees: Wholesale Trade,Labor Market
USTRADE,All Employees: Retail Trade,Labor Market
USFIRE,All Employees: Financial Activities,Labor Market
USGOVT,All Employees: Government,Labor Market
CES0600000007,Avg Weekly Hours : Goods-Producing,Labor Market
AWOTMAN,Avg Weekly Overtime Hours : Manufacturing,Labor Market
AWHMAN,Avg Weekly Hours : Manufacturing,Labor Market
HOUST,Housing Starts: Total New Privately Owned,Housing
HOUSTNE,"Housing Starts, Northeast",Housing
HOUSTMW,"Housing Starts, Midwest",Housing
HOUSTS,"Housing Starts, South",Housing
HOUSTW,"Housing Starts, West",Housing
PERMIT,New Private Housing Permits (SAAR),Housing
PERMITNE,"New Private Housing Permits, Northeast (SAAR)",Housing
PERMITMW,"New Private Housing Permits, Midwest (SAAR)",Housing
PERMITS,"New Private Housing Permits, South (SAAR)",Housing
PERMITW,"New Private Housing Permits, West (SAAR)",Housing
ACOGNO,New Orders for Consumer Goods,"Consumption, Orders, and Inventories"
AMDMNOx,New Orders for Durable Goods,"Consumption, Orders, and Inventories"
ANDENOx,New Orders for Nondefense Capital Goods,"Consumption, Orders, and Inventories"
AMDMUOx,Un lled Orders for Durable Goods,"Consumption, Orders, and Inventories"
BUSINVx,Total Business Inventories,"Consumption, Orders, and Inventories"
ISRATIOx,Total Business: Inventories to Sales Ratio,"Consumption, Orders, and Inventories"
M1SL,M1 Money Stock,Money and Credit
M2SL,M2 Money Stock,Money and Credit
M2REAL,Real M2 Money Stock,Money and Credit
TOTRESNS,Total Reserves of Depository Institutions,Money and Credit
NONBORRES,Reserves Of Depository Institutions,Money and Credit
BUSLOANS,Commercial and Industrial Loans,Money and Credit
